# hexa-codex/.verdicts/economics/e1_moe_landings.tsv
# ECONOMICS axis E1 (NOVEL, cycle-29 batch 2) — MoE active-param landings
# fields: model	N_total_params	N_active_params	D_tokens	loss_pretrain	loss_eval	gpu_hours	gpu_type	flops_train	d_over_n_active	dev_factor_active	citation_url
# load-bearing: N_active + D + dev_factor_active (= D/N_active / 20)
# loss columns = -1.0 (citation-only 🟡 tier — pretraining loss not disclosed by Mistral/Databricks/Snowflake/DeepSeek)
# anchor row: chinchilla-70B (dense) FROM cycle-26 c1_chinchilla_envelope.tsv for inclusion-by-reference in cycle-29 KS-test
deepseekv3-37B-act	6.71e11	3.7e10	1.48e13	-1.0	-1.0	2.788e6	H800	1.342e13	400.00	20.00	https://arxiv.org/abs/2412.19437
dbrx-36B-act	1.32e11	3.6e10	1.2e13	-1.0	-1.0	-1.0	H100	-1.0	333.33	16.67	https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm
arctic-17B-act	4.8e11	1.7e10	3.5e12	-1.0	-1.0	-1.0	H100	-1.0	205.88	10.29	https://www.snowflake.com/en/blog/arctic-open-efficient-foundation-language-models-snowflake/
deepseekv2-21B-act	2.36e11	2.1e10	8.1e12	-1.0	-1.0	-1.0	H800	-1.0	385.71	19.29	https://arxiv.org/abs/2405.04434
phi3.5-moe-6.6B-act	6.08e10	6.6e9	4.9e12	-1.0	-1.0	-1.0	H100-80GB	-1.0	742.42	37.12	https://huggingface.co/microsoft/Phi-3.5-MoE-instruct
deepseekv2-lite-2.4B-act	1.6e10	2.4e9	5.7e12	-1.0	-1.0	-1.0	H800	-1.0	2375.00	118.75	https://huggingface.co/deepseek-ai/DeepSeek-V2-Lite
granite-3.0-3B-a800m-act	3.3e9	8.0e8	1.0e13	-1.0	-1.0	-1.0	H100	-1.0	12500.00	625.00	https://huggingface.co/ibm-granite/granite-3.0-3b-a800m-instruct
olmoe-1B-act	7.0e9	1.0e9	4.07e12	-1.0	-1.0	-1.0	-1.0	-1.0	4070.00	203.50	https://huggingface.co/allenai/OLMoE-1B-7B-0924
phi-mini-moe-2.4B-act	7.6e9	2.4e9	4.0e11	-1.0	-1.0	-1.0	A100-80GB	-1.0	166.67	8.33	https://huggingface.co/microsoft/Phi-mini-MoE-instruct
jetmoe-8b-act-2.2B	8.0e9	2.2e9	1.25e12	-1.0	-1.0	3.2256e4	H100	-1.0	568.18	28.41	https://huggingface.co/jetmoe/jetmoe-8b
orion-moe8x7b-act-12.9B	4.67e10	1.29e10	5.0e12	-1.0	-1.0	-1.0	A100	-1.0	387.60	19.38	https://huggingface.co/OrionStarAI/Orion-MOE8x7B-Base
