family	params_b	img	n_expected	range	correct	pred	reply	wall_ms
qwen25vl	7.0	count_1_s0	1	subitizing	1	1	1	20186
qwen25vl	7.0	count_1_s1	1	subitizing	1	1	1	19952
qwen25vl	7.0	count_1_s2	1	subitizing	1	1	1	20085
qwen25vl	7.0	count_1_s3	1	subitizing	1	1	1	20368
qwen25vl	7.0	count_2_s0	2	subitizing	1	2	2	20566
qwen25vl	7.0	count_2_s1	2	subitizing	1	2	2	20613
qwen25vl	7.0	count_2_s2	2	subitizing	1	2	2	19930
qwen25vl	7.0	count_2_s3	2	subitizing	1	2	2	19857
qwen25vl	7.0	count_3_s0	3	subitizing	1	3	3	19794
qwen25vl	7.0	count_3_s1	3	subitizing	1	3	3	21438
qwen25vl	7.0	count_3_s2	3	subitizing	1	3	3	20638
qwen25vl	7.0	count_3_s3	3	subitizing	1	3	3	20776
qwen25vl	7.0	count_4_s0	4	subitizing	1	4	4	20342
qwen25vl	7.0	count_4_s1	4	subitizing	1	4	4	20921
qwen25vl	7.0	count_4_s2	4	subitizing	1	4	4	20625
qwen25vl	7.0	count_4_s3	4	subitizing	1	4	4	20244
qwen25vl	7.0	count_5_s0	5	counting	1	5	5	19509
qwen25vl	7.0	count_5_s1	5	counting	1	5	5	19500
qwen25vl	7.0	count_5_s2	5	counting	1	5	5	20044
qwen25vl	7.0	count_5_s3	5	counting	1	5	5	20277
qwen25vl	7.0	count_6_s0	6	counting	0	7	7	20303
qwen25vl	7.0	count_6_s1	6	counting	1	6	6	20172
qwen25vl	7.0	count_6_s2	6	counting	1	6	6	20487
qwen25vl	7.0	count_6_s3	6	counting	1	6	6	20416
qwen25vl	7.0	count_7_s0	7	counting	1	7	7	19957
qwen25vl	7.0	count_7_s1	7	counting	1	7	7	20648
qwen25vl	7.0	count_7_s2	7	counting	1	7	7	20974
qwen25vl	7.0	count_7_s3	7	counting	1	7	7	20503
qwen25vl	7.0	count_8_s0	8	counting	1	8	8	19934
qwen25vl	7.0	count_8_s1	8	counting	0	9	9	20678
qwen25vl	7.0	count_8_s2	8	counting	1	8	8	21014
qwen25vl	7.0	count_8_s3	8	counting	0	9	9	20437
qwen25vl	7.0	count_9_s0	9	counting	0	8	8	20945
qwen25vl	7.0	count_9_s1	9	counting	0	10	10	19288
qwen25vl	7.0	count_9_s2	9	counting	1	9	9	14392
qwen25vl	7.0	count_9_s3	9	counting	0	10	10	14171
qwen25vl	7.0	count_10_s0	10	dense	1	10	10	14344
qwen25vl	7.0	count_10_s1	10	dense	1	10	10	15883
qwen25vl	7.0	count_10_s2	10	dense	0	12	12	15840
qwen25vl	7.0	count_10_s3	10	dense	1	10	10	23091
qwen25vl	7.0	count_12_s0	12	dense	1	12	12	23188
qwen25vl	7.0	count_12_s1	12	dense	0	15	15	31491
qwen25vl	7.0	count_12_s2	12	dense	0	13	13	22419
qwen25vl	7.0	count_12_s3	12	dense	0	13	13	23029
qwen25vl	7.0	count_15_s0	15	dense	0	19	19	31615
qwen25vl	7.0	count_15_s1	15	dense	1	15	15	33316
qwen25vl	7.0	count_15_s2	15	dense	0	19	19	32287
qwen25vl	7.0	count_15_s3	15	dense	0	18	18	27936
