family	params_b	img	n_expected	range	correct	pred	reply	wall_ms
internvl3	2.0	count_1_s0	1	subitizing	1	1	1	16121
internvl3	2.0	count_1_s1	1	subitizing	1	1	1	13895
internvl3	2.0	count_1_s2	1	subitizing	1	1	1	13532
internvl3	2.0	count_1_s3	1	subitizing	1	1	1	13605
internvl3	2.0	count_2_s0	2	subitizing	1	2	2	12578
internvl3	2.0	count_2_s1	2	subitizing	1	2	2	12538
internvl3	2.0	count_2_s2	2	subitizing	1	2	2	13154
internvl3	2.0	count_2_s3	2	subitizing	1	2	2	13108
internvl3	2.0	count_3_s0	3	subitizing	1	3	3	12269
internvl3	2.0	count_3_s1	3	subitizing	1	3	3	12931
internvl3	2.0	count_3_s2	3	subitizing	1	3	3	11801
internvl3	2.0	count_3_s3	3	subitizing	1	3	3	13028
internvl3	2.0	count_4_s0	4	subitizing	1	4	4	13333
internvl3	2.0	count_4_s1	4	subitizing	1	4	4	13035
internvl3	2.0	count_4_s2	4	subitizing	1	4	4	13317
internvl3	2.0	count_4_s3	4	subitizing	1	4	4	13132
internvl3	2.0	count_5_s0	5	counting	1	5	5	13116
internvl3	2.0	count_5_s1	5	counting	1	5	5	13484
internvl3	2.0	count_5_s2	5	counting	0	6	6	12778
internvl3	2.0	count_5_s3	5	counting	1	5	5	12749
internvl3	2.0	count_6_s0	6	counting	1	6	6	12596
internvl3	2.0	count_6_s1	6	counting	1	6	6	12750
internvl3	2.0	count_6_s2	6	counting	1	6	6	12546
internvl3	2.0	count_6_s3	6	counting	1	6	6	12991
internvl3	2.0	count_7_s0	7	counting	1	7	7	13607
internvl3	2.0	count_7_s1	7	counting	0	6	6	13328
internvl3	2.0	count_7_s2	7	counting	1	7	7	13034
internvl3	2.0	count_7_s3	7	counting	0	8	8	12578
internvl3	2.0	count_8_s0	8	counting	1	8	8	12706
internvl3	2.0	count_8_s1	8	counting	1	8	8	12613
internvl3	2.0	count_8_s2	8	counting	1	8	8	13298
internvl3	2.0	count_8_s3	8	counting	1	8	8	15284
internvl3	2.0	count_9_s0	9	counting	0	8	8	12935
internvl3	2.0	count_9_s1	9	counting	0	8	8	12604
internvl3	2.0	count_9_s2	9	counting	0	8	8	12920
internvl3	2.0	count_9_s3	9	counting	0	8	8	12153
internvl3	2.0	count_10_s0	10	dense	0	9	9	13379
internvl3	2.0	count_10_s1	10	dense	0	9	9	12783
internvl3	2.0	count_10_s2	10	dense	0	9	9	12807
internvl3	2.0	count_10_s3	10	dense	0	9	9	12596
internvl3	2.0	count_12_s0	12	dense	0	10	10	13462
internvl3	2.0	count_12_s1	12	dense	0	9	9	13092
internvl3	2.0	count_12_s2	12	dense	0	9	9	13150
internvl3	2.0	count_12_s3	12	dense	0	9	9	13448
internvl3	2.0	count_15_s0	15	dense	0	11	11	14765
internvl3	2.0	count_15_s1	15	dense	0	11	11	13735
internvl3	2.0	count_15_s2	15	dense	0	12	12	13600
internvl3	2.0	count_15_s3	15	dense	0	11	11	13901
